,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist
1356,0.771,0.857,5,-6.432,1,0.0444,0.495,1.04e-06,0.11,0.954,97.98,audio_features,2P1Rcut2VL9ylgdGDHfPJS,spotify:track:2P1Rcut2VL9ylgdGDHfPJS,https://api.spotify.com/v1/tracks/2P1Rcut2VL9ylgdGDHfPJS,https://api.spotify.com/v1/audio-analysis/2P1Rcut2VL9ylgdGDHfPJS,217194,4,La Negra No Quiere,Cali Flow Latino
1357,0.788,0.747,0,-7.235,0,0.0739,0.521,0.0,0.133,0.952,97.42,audio_features,1NYnEnr9EkA0r0ZoYNTocN,spotify:track:1NYnEnr9EkA0r0ZoYNTocN,https://api.spotify.com/v1/tracks/1NYnEnr9EkA0r0ZoYNTocN,https://api.spotify.com/v1/audio-analysis/1NYnEnr9EkA0r0ZoYNTocN,240293,4,Ella Lo Que Quiere Es Salsa (feat. Voltio & Jowell y Randy),Víctor Manuelle
1358,0.343,0.828,0,-9.308,1,0.0405,0.177,1.34e-05,0.131,0.651,182.664,audio_features,5MhLjE5KvAfqFx8hxQi3eW,spotify:track:5MhLjE5KvAfqFx8hxQi3eW,https://api.spotify.com/v1/tracks/5MhLjE5KvAfqFx8hxQi3eW,https://api.spotify.com/v1/audio-analysis/5MhLjE5KvAfqFx8hxQi3eW,449640,4,Aparentemente,Tony Vega
1359,0.704,0.845,7,-2.167,0,0.0423,0.511,3.24e-06,0.245,0.961,97.92,audio_features,0zmFhKZGJrupjNG1gTBgHq,spotify:track:0zmFhKZGJrupjNG1gTBgHq,https://api.spotify.com/v1/tracks/0zmFhKZGJrupjNG1gTBgHq,https://api.spotify.com/v1/audio-analysis/0zmFhKZGJrupjNG1gTBgHq,247920,4,La Vida Es Buena (with Issac Delgado),Various Artists
1360,0.656,0.901,0,-6.213,1,0.0367,0.51,1.14e-06,0.149,0.953,168.514,audio_features,4ee1fUrPVok1bEyj1cm4Rv,spotify:track:4ee1fUrPVok1bEyj1cm4Rv,https://api.spotify.com/v1/tracks/4ee1fUrPVok1bEyj1cm4Rv,https://api.spotify.com/v1/audio-analysis/4ee1fUrPVok1bEyj1cm4Rv,279280,4,"El Amor de Mi Vida ""Se Fue""",Grupo Galé
1361,0.628,0.81,7,-3.671,1,0.0665,0.666,2.55e-06,0.0598,0.874,189.715,audio_features,3bleyyGEiQNGsvbbFK8u9f,spotify:track:3bleyyGEiQNGsvbbFK8u9f,https://api.spotify.com/v1/tracks/3bleyyGEiQNGsvbbFK8u9f,https://api.spotify.com/v1/audio-analysis/3bleyyGEiQNGsvbbFK8u9f,265821,4,El Afortunado,Septeto Acarey
1362,0.709,0.954,7,-4.653,1,0.065,0.261,0.0,0.29,0.696,87.01,audio_features,3X5h9JHRn22bwysuTLVOXQ,spotify:track:3X5h9JHRn22bwysuTLVOXQ,https://api.spotify.com/v1/tracks/3X5h9JHRn22bwysuTLVOXQ,https://api.spotify.com/v1/audio-analysis/3X5h9JHRn22bwysuTLVOXQ,208153,4,Boogaloo Supreme,Víctor Manuelle
1363,0.502,0.826,10,-4.69,1,0.0486,0.665,6.46e-06,0.294,0.855,96.951,audio_features,0WwVA5yRSxSUBM3macPfJK,spotify:track:0WwVA5yRSxSUBM3macPfJK,https://api.spotify.com/v1/tracks/0WwVA5yRSxSUBM3macPfJK,https://api.spotify.com/v1/audio-analysis/0WwVA5yRSxSUBM3macPfJK,439080,4,Medley,Louie Ramirez
1364,0.644,0.744,8,-4.928,1,0.0542,0.201,0.0,0.0779,0.867,86.139,audio_features,5EWIPZvnzOnaqql4meIEvM,spotify:track:5EWIPZvnzOnaqql4meIEvM,https://api.spotify.com/v1/tracks/5EWIPZvnzOnaqql4meIEvM,https://api.spotify.com/v1/audio-analysis/5EWIPZvnzOnaqql4meIEvM,245733,4,"Nada, Nada, Nada",Domingo Quiñones
1365,0.702,0.777,2,-4.445,0,0.0531,0.242,0.0,0.214,0.834,98.982,audio_features,3jOpw80FiCU3N49m1CV2zL,spotify:track:3jOpw80FiCU3N49m1CV2zL,https://api.spotify.com/v1/tracks/3jOpw80FiCU3N49m1CV2zL,https://api.spotify.com/v1/audio-analysis/3jOpw80FiCU3N49m1CV2zL,298907,4,¿ Y Ahora Qué Hacemos?,You Salsa
1366,0.757,0.772,7,-3.723,1,0.0594,0.296,0.0,0.0354,0.82,92.6,audio_features,3DAxwWtA3N41eNZ9pCsQnl,spotify:track:3DAxwWtA3N41eNZ9pCsQnl,https://api.spotify.com/v1/tracks/3DAxwWtA3N41eNZ9pCsQnl,https://api.spotify.com/v1/audio-analysis/3DAxwWtA3N41eNZ9pCsQnl,252987,4,Mi Propiedad Privada,LA INDIA
1367,0.66,0.904,8,-3.133,1,0.0424,0.172,0.0,0.203,0.743,97.08,audio_features,7F5TaNXio3RwP4bsbaYuIt,spotify:track:7F5TaNXio3RwP4bsbaYuIt,https://api.spotify.com/v1/tracks/7F5TaNXio3RwP4bsbaYuIt,https://api.spotify.com/v1/audio-analysis/7F5TaNXio3RwP4bsbaYuIt,191907,4,Si Me Quieres Bien,Lafame
1368,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,audio_features,7AUhck1sPy11OExQmDDx4P,spotify:track:7AUhck1sPy11OExQmDDx4P,https://api.spotify.com/v1/tracks/7AUhck1sPy11OExQmDDx4P,https://api.spotify.com/v1/audio-analysis/7AUhck1sPy11OExQmDDx4P,231593,4,De Vuelta Pa' La Vuelta,Daddy Yankee
1369,0.665,0.94,5,-3.606,1,0.0553,0.434,0.0,0.0914,0.752,93.725,audio_features,7AUhck1sPy11OExQmDDx4P,spotify:track:7AUhck1sPy11OExQmDDx4P,https://api.spotify.com/v1/tracks/7AUhck1sPy11OExQmDDx4P,https://api.spotify.com/v1/audio-analysis/7AUhck1sPy11OExQmDDx4P,231593,4,De Vuelta Pa' La Vuelta,Daddy Yankee
